Id,Modularity Class
125,0
130,0
15405,0
15555,0
203,0
208,0
34909,0
527,15
532,0
142,3
786,3
231,1
10436,1
5205,1
419,8
489,8
448,8
491,8
494,8
498,2
508,2
531,8
535,8
538,8
560,8
566,8
572,8
575,8
578,8
593,8
603,8
619,8
639,8
682,8
747,8
755,15
757,8
760,8
761,8
784,8
817,8
820,8
821,8
835,8
837,8
921,8
565,2
617,8
10759,2
1310,2
1317,2
1529,2
1545,2
1622,2
2271,17
360,2
40579,2
505,2
518,3
5504,2
586,2
590,2
616,2
663,5
76413,2
76429,2
76438,2
76445,2
11679,2
1884,7
20683,2
22028,2
24010,2
30,7
4217,2
4250,2
425,2
4508,7
452,7
457,2
5214,2
563,2
5640,2
581,2
604,2
645,2
656,2
764,2
765,2
766,2
519,3
2100,3
928,8
540,7
10351,7
21464,7
544,7
723,7
545,5
547,7
152,7
549,7
558,3
1062,3
1063,3
1079,8
1185,3
1213,3
1230,3
1248,3
1278,3
1336,3
1375,3
1548,3
1550,3
1552,3
1586,3
17286,17
17300,17
17317,3
2362,3
28195,3
28196,3
28199,3
28222,3
28229,3
28231,3
28239,3
28253,3
28264,8
28302,3
28307,3
28311,3
28321,3
28366,3
28373,3
28416,3
28417,3
28423,3
28440,3
4216,3
4310,3
437,3
5198,3
5293,3
5467,3
5747,3
5853,3
6017,3
628,3
641,3
7456,3
7644,3
8090,17
8173,3
819,3
825,3
851,3
854,3
874,3
919,5
580,4
20719,4
607,3
1221,3
15943,3
17265,3
29322,3
347,3
423,3
5671,3
10259,3
1070,5
1295,3
1541,3
17175,3
17193,3
17264,3
18241,3
19985,3
2170,3
2482,3
3191,3
3283,3
3284,3
3293,3
3298,3
3303,3
3307,3
3312,3
3382,3
3697,3
3701,3
3863,3
3923,3
3948,3
4558,3
4857,3
4961,3
4979,3
5197,3
5380,3
5381,3
5580,3
5973,3
719,3
7458,3
86272,3
889,3
949,3
1067,5
4279,5
686,5
905,5
985,5
693,6
622,6
762,8
1066,8
1312,3
1364,3
17663,3
28435,3
28792,3
29338,3
3271,3
3425,3
34932,3
39617,3
39618,3
39622,3
39645,3
39669,3
39713,3
714,3
804,7
1411,7
1891,7
21507,7
4503,7
4506,7
492,7
5358,7
550,7
5683,7
5690,7
807,8
10435,8
1300,8
15557,8
17740,8
29144,8
3604,8
36398,8
3702,8
45043,8
53379,8
53380,8
53420,8
53509,8
53536,8
733,8
857,8
28489,3
29194,3
859,3
151,3
8375,3
890,7
26384,7
26720,7
4260,5
934,3
948,7
1199,7
2262,7
1068,8
1071,8
1072,8
1073,8
1074,8
1075,8
1078,8
1306,8
1318,8
1319,8
1320,8
1325,8
1334,8
1360,8
1492,8
1538,8
1546,8
1587,8
2169,8
26380,8
4223,8
499,8
509,8
5986,8
5987,8
600,8
611,8
623,8
624,8
625,8
642,8
674,8
679,8
708,8
713,8
720,8
726,8
730,8
742,8
756,8
775,8
823,8
864,8
914,8
936,8
1223,7
7682,7
1237,9
21459,9
28789,3
40315,3
40342,3
1373,10
29935,10
20963,7
26765,7
12376,3
146,3
28236,3
29277,3
1493,7
24134,7
25388,7
2072,11
1556,11
2092,7
5316,3
2255,17
1010,17
17114,17
17289,17
17327,17
17739,17
29345,17
29346,17
982,17
20697,15
4507,7
5277,7
5688,7
4264,3
4579,8
10389,1
10437,1
13320,1
253,1
33016,1
33022,1
58384,1
8632,1
5345,14
5551,12
81884,12
5721,13
61619,13
5963,5
1911,5
1937,5
2012,5
4251,5
4302,5
4355,5
5199,5
5941,5
5942,5
5943,5
5944,5
5945,5
5946,5
5947,5
5948,5
5949,5
5950,5
5951,5
5952,5
5953,5
5954,5
5955,5
5956,5
5957,5
5958,5
5959,5
5965,5
129,3
5988,3
8400,7
8454,14
1135,14
1149,14
1150,14
1964,14
2073,14
216,14
21684,14
26699,14
3228,14
542,14
5928,14
8376,14
8378,14
8388,14
8391,14
8392,14
8393,14
8394,14
8395,14
8396,14
8397,14
8403,14
8404,14
8405,14
8407,14
8408,14
8410,14
8411,14
8414,14
8415,14
8416,14
8417,14
8418,14
8419,14
8423,14
8427,14
8428,14
8429,14
8430,14
8434,14
8435,14
8436,14
8437,14
8439,14
8440,14
8441,14
8442,14
8443,14
8444,14
8446,14
8447,14
8448,14
8449,14
8453,14
8455,14
8457,14
8458,14
8460,14
8464,14
8467,14
8468,14
8469,14
8470,14
8471,14
8472,14
8475,14
8476,14
8477,7
8478,14
8479,14
8480,14
8483,14
8485,14
8486,14
8487,14
8488,14
8490,14
8493,14
8494,14
8495,14
8496,14
8497,14
8503,14
8504,14
8505,14
8506,14
