Id,Modularity Class
3,0
103,0
10794,0
11684,17
117,0
11716,4
11732,17
118,0
13253,0
13934,0
208,0
29867,0
36456,0
36457,0
36460,0
36464,0
36471,0
36475,0
36478,0
36483,0
36485,0
457,17
463,0
527,17
82,64
83,0
920,7
4,0
10226,0
10385,0
10715,0
111,0
112,0
171,0
178,0
186,0
196,0
2,0
201,0
2024,0
20698,7
216,0
231,0
242,64
273,0
306,0
3084,0
3228,0
389,0
566,0
59541,0
59548,0
59562,0
59571,0
68,0
8326,0
8336,0
8349,0
8352,0
93,0
9,0
1375,34
3731,34
786,34
29,0
10343,0
116,0
122,0
203,0
51,0
30,7
1178,7
1216,7
125,7
1304,7
1411,7
2092,7
281,7
419,7
4250,7
452,7
540,7
544,7
547,7
550,7
604,7
723,7
890,7
916,17
963,7
113,0
13358,0
15460,0
164,0
18242,0
247,0
28623,0
29639,0
29640,0
29642,0
29645,0
29646,0
29647,0
29648,64
29649,0
29650,0
321,34
323,0
388,0
479,0
8370,0
89,0
76,0
19403,0
256,0
78,0
81,0
1294,1
1527,0
174,0
181,0
182,0
188,0
193,0
198,0
77,0
8327,0
95,0
106,0
29881,0
387,17
84,0
390,0
85,0
10,0
10348,0
10349,0
10353,0
10355,0
10356,0
10357,0
10361,0
10363,0
10364,0
10365,0
10366,0
10367,0
10368,0
10369,0
10370,0
10371,0
10375,0
10377,0
10379,0
10380,0
10382,0
10383,0
10384,0
10389,0
10404,0
108,0
12411,0
170,0
179,0
189,0
190,0
19401,0
251,0
252,0
2659,0
277,0
293,0
29673,0
29873,0
29877,0
29879,0
29884,0
30009,0
30012,0
307,0
3085,0
312,0
32893,0
32895,0
32907,0
33013,0
33016,0
35159,0
401,0
58252,0
58382,0
58385,0
58386,0
74,0
8334,0
8351,0
8369,0
8595,0
8620,0
8621,0
8632,0
90,0
9045,0
91,0
391,0
94,10
99,17
151,17
3659,8
4873,7
80295,19
10381,0
10761,0
115,0
119,0
126,17
127,17
14515,0
36467,0
36489,0
36493,0
10351,7
10352,0
29863,0
3213,19
3743,0
6644,0
7,0
9046,0
92,0
77513,0
114,32
19400,32
33025,32
33027,32
40610,64
5205,8
74730,32
79,0
202,0
266,0
274,0
3695,1
456,4
7666,34
100,0
10443,0
10459,0
10756,0
10758,0
121,0
172,0
173,0
176,64
177,0
183,0
184,0
185,0
191,0
192,0
197,0
200,0
204,0
205,0
206,0
207,0
210,0
212,0
29922,0
33293,0
36610,0
43046,0
453,10
123,34
532,17
104,7
1048,7
1050,7
10808,17
11667,17
11669,17
11671,17
11676,7
11706,17
11785,17
11887,17
11902,7
124,17
12446,17
12521,17
133,17
135,17
13544,17
