Id,Modularity Class
480,0
2336,0
398,0
48145,0
497,1
3351,2
3469,1
501,2
28575,2
908,2
631,10
11530,10
11533,10
11537,10
11541,10
11543,10
7763,3
674,2
749,4
10036,4
1021,4
1023,4
1026,1
1028,4
1029,4
1031,4
12828,4
12901,4
12947,4
12959,4
13224,4
13244,4
13295,4
1795,4
1796,4
1806,4
19257,4
19845,4
22258,4
2396,4
2526,4
2530,4
2531,4
2536,4
2538,4
2543,4
2544,4
2545,4
2546,4
2560,4
2563,4
2566,4
2584,4
2585,4
2592,4
2601,4
2674,4
2675,4
2681,4
2682,4
3162,4
34001,4
35412,4
35418,4
36342,4
36353,4
36525,4
37758,4
37779,1
37840,4
384,4
38732,4
38737,4
40142,4
40150,4
43481,4
44338,4
47606,4
48290,4
48296,4
49114,4
49115,4
49116,4
49117,4
49118,4
49119,4
49120,4
49121,4
49122,4
49123,4
49124,4
49125,4
49126,4
49127,4
49128,4
49129,4
49130,4
49131,4
49132,4
49133,4
49134,4
49135,4
49136,4
49137,4
49138,4
49139,4
49140,4
49141,4
5013,4
5152,4
5153,4
5156,4
6143,4
6147,4
6149,4
6339,4
7009,4
7045,1
7097,4
7100,4
7125,4
7776,4
9519,4
990,1
3271,2
3431,2
3565,2
3667,2
3737,2
3750,2
453,2
48295,1
49025,2
49035,2
49036,2
49037,2
49038,2
49044,2
1004,2
3373,2
1078,2
3604,2
1521,11
11526,10
1597,2
1814,10
2337,1
66260,1
2470,0
2856,5
2888,10
1043,10
2947,6
143,6
2939,6
3015,6
3085,6
3480,6
3588,6
3760,1
66281,1
7237,6
3067,1
19286,1
3464,1
34937,1
3071,1
3322,1
3763,2
5604,2
3276,1
11520,1
1281,1
1848,2
22541,1
2992,1
3166,1
3382,1
3670,2
46146,1
49142,1
49143,1
89,1
3286,7
1066,7
1079,7
12921,7
1335,7
13357,2
1415,7
15768,7
17155,1
17156,7
17158,7
17160,7
17161,7
17162,7
17163,1
17164,7
17165,7
17167,7
17169,7
17171,1
17172,7
17175,7
17176,7
17177,7
17178,7
17179,7
17180,7
17211,7
1815,7
19127,7
20638,7
2481,7
2482,7
27377,7
2844,7
2909,7
2935,7
2944,7
2956,7
2958,7
2978,7
2998,7
3018,7
3026,7
3283,7
3383,2
34423,1
3600,7
3678,7
3707,7
37150,7
3724,7
3730,7
3731,7
3734,7
3735,7
3762,7
3845,7
3850,7
3863,7
3918,2
3983,7
3990,7
3992,7
4035,7
4064,7
4065,7
4071,7
4146,7
4278,10
4569,7
4585,2
4692,7
48464,2
4861,7
5163,7
5472,7
5550,7
5596,7
6017,7
6075,7
66254,1
7375,7
7508,7
761,7
7721,7
7822,7
7838,2
7991,7
3314,2
11521,2
3386,2
3428,2
3436,2
3743,2
3754,2
4086,2
4582,2
874,2
17331,2
17641,2
18289,2
19126,2
21640,2
22262,2
2375,2
29740,2
32083,2
32547,2
32926,2
33905,2
3406,2
3433,2
3471,2
3745,2
4429,2
4666,2
47931,2
47938,2
47953,2
47960,2
48448,2
48488,2
48538,2
49029,2
49030,2
49031,2
49039,2
49047,2
49056,2
49067,2
49069,2
49070,2
49071,2
49074,2
49078,2
49147,2
49149,2
49152,2
49153,2
49156,2
49162,2
49168,2
49171,2
49174,2
49175,2
49176,2
49180,2
49187,2
49189,2
49190,2
49192,2
5297,2
6110,2
7178,2
726,2
7832,2
2986,2
3165,2
3868,2
3894,2
3910,2
18313,1
3585,1
49041,1
66210,1
66219,1
66220,1
66221,1
66224,1
66227,1
66261,1
66262,1
66268,1
66304,1
66342,1
66397,1
66400,1
66430,1
66484,1
66485,1
66499,1
3545,3
10394,2
11511,2
3974,3
11532,10
3839,10
11528,10
11544,10
15957,2
2138,10
34414,2
35700,2
39849,2
44576,2
44644,2
4538,2
4728,2
4839,2
6648,10
6699,2
7920,2
3916,2
49015,2
49016,2
49017,2
49020,2
49021,2
4835,8
29606,8
29607,8
29608,8
29609,8
29610,8
29636,8
4395,8
6105,1
6626,9
20018,9
24754,9
30183,9
30260,9
11540,3
31649,3
36018,3
46053,3
59691,3
59692,3
59693,3
59696,3
59697,3
59700,3
59701,3
7863,3
36265,3
7837,3
7923,1
8216,2
9404,11
10077,0
11539,10
15669,10
22222,10
7093,10
11534,10
11535,10
11536,10
11542,10
11545,10
11548,10
1197,10
24236,10
27993,10
2950,10
35988,10
3837,10
3842,10
59720,10
6661,10
706,10
804,10
11624,0
5554,2
17221,11
12826,1
5157,1
30125,9
30127,9
30130,9
30184,9
30191,9
30197,9
30199,9
30205,9
30207,9
30248,9
30275,9
30298,9
30338,9
21766,3
1798,10
2332,10
5497,10
27966,11
27971,11
30123,9
22248,9
2408,9
24635,9
30124,9
30189,9
30208,9
30210,9
30264,9
30266,9
30316,9
30317,9
30318,9
30193,9
30194,9
30270,9
30274,9
30128,9
30186,9
30187,9
30195,9
30201,9
30227,9
30258,9
30181,9
30198,9
30200,9
30273,9
30315,9
30185,9
30196,9
30192,9
30204,9
30269,9
30182,9
30267,9
30271,9
30277,9
30287,9
30209,9
30226,9
30261,9
30297,9
66396,1
36119,3
37556,11
39513,3
3646,3
39550,3
48481,12
49019,2
49032,2
49068,2
49073,13
48443,13
48444,13
50358,11
57233,11
57330,11
57338,14
57339,14
57340,11
57342,11
57344,11
57346,11
57347,10
57348,11
57349,11
57350,11
57351,11
59685,3
59704,3
59709,3
3145,3
59710,3
59711,10
59712,10
6332,10
59719,3
59722,3
59705,3
59768,3
66222,1
66223,1
66289,1
66290,1
66291,1
66298,1
66343,1
66344,1
66345,1
66211,1
66201,1
66240,1
66241,1
66242,1
2570,1
28007,1
66293,15
9498,1
66226,1
18145,1
18306,1
18332,1
19140,1
19264,1
2653,1
27529,1
32335,1
32336,1
5579,1
66255,1
66256,1
66257,1
66258,1
66259,1
66278,1
9901,1
9975,1
19056,1
66243,1
66463,1
66314,1
66282,1
66286,1
66307,1
66341,1
66425,15
13003,15
66450,15
66459,15
66465,15
66466,15
66467,15
66468,15
66469,15
66470,15
66471,15
66472,15
66473,15
66474,15
66475,15
66476,15
66477,15
66478,15
66479,15
66559,0
