Id,Modularity Class
2,3
58666,3
3,3
103,3
10370,0
10758,3
10808,3
112,12
116,3
117,3
11785,3
1281,62
143,3
14622,3
15285,3
158,3
183,0
1860,39
208,62
254,3
28484,3
29371,3
29390,39
3594,3
363,3
36398,3
36456,3
36457,3
36461,3
36462,3
36465,3
36469,3
3647,16
36471,3
36473,3
36477,3
36478,3
36481,3
36487,3
4667,3
471,3
51,3
527,12
568,3
5833,62
5835,3
4,62
10670,62
111,62
201,62
2024,12
205,62
216,12
231,0
2311,62
256,62
277,12
3228,12
59548,62
59567,62
59674,62
59675,62
8326,62
8349,12
8580,62
94,62
29,0
1,0
10360,0
10364,0
10381,0
10382,0
19602,0
252,0
32891,0
8336,12
30,12
544,12
10701,3
1276,3
164,12
9322,3
99,20
142,3
151,3
2844,20
4873,16
5601,16
641,62
10761,3
113,3
115,3
11683,3
11712,3
118,12
119,3
13315,3
14515,3
14714,3
14891,3
196,39
23382,3
29833,3
36474,3
36476,3
36480,3
36486,3
36488,3
365,3
463,3
465,16
7968,3
104,22
11681,12
106,0
251,0
80524,0
401,12
69,12
133,3
15457,39
368,3
123,3
1211,12
127,3
128,3
129,3
13362,3
134,3
140,3
14308,3
148,3
149,12
225,3
262,3
419,12
435,3
446,3
452,12
457,3
498,62
5290,3
764,16
917,18
124,3
13320,3
135,3
2051,3
22461,3
261,3
3214,20
442,3
4790,3
515,62
532,12
5562,3
5706,3
575,3
125,12
1050,3
1199,12
1243,12
1244,12
1246,12
1493,12
15272,12
1894,12
20763,12
22809,12
22810,12
23264,12
2333,12
4286,12
4463,3
5178,12
540,12
546,3
550,12
552,12
5688,12
661,12
723,12
804,12
919,16
922,12
10260,3
11898,3
1230,12
14507,3
146,3
17161,62
1896,18
2710,3
31487,3
4072,3
425,3
4543,3
4554,3
4572,3
47897,3
47907,3
5197,62
599,3
719,12
7606,16
8619,39
131,62
1044,13
11900,62
126,3
1275,62
1277,62
1283,62
15622,62
15898,3
17781,3
1959,12
2179,62
242,20
2627,62
2638,62
2658,62
29564,20
33220,3
348,62
360,62
447,62
448,62
453,12
47630,62
489,12
5035,62
5045,62
518,62
520,62
530,62
538,62
573,62
5881,17
590,62
611,62
612,62
619,62
650,62
66645,62
66652,62
66656,62
66716,62
66722,62
66938,62
66940,62
67028,62
67100,62
67102,62
67105,62
67110,62
67111,62
67112,62
67115,62
67121,62
67122,62
67129,62
693,62
697,62
711,62
77,62
772,62
789,62
791,62
812,62
849,62
945,62
967,62
970,62
9953,42
13355,3
13358,3
1377,3
3695,20
1061,20
1272,18
1399,20
1412,12
17675,3
1888,20
263,3
2701,16
2827,20
2842,8
2938,18
2939,20
2969,20
2978,20
3015,16
3204,20
3412,20
3537,20
4063,20
4278,16
450,3
4564,20
5314,16
765,16
786,62
874,20
930,20
11667,12
11692,3
11706,3
1180,12
11822,42
11887,3
11890,3
11891,3
11893,3
11895,3
11901,3
11902,3
11903,3
11904,3
11906,3
11907,3
1198,12
1204,12
1209,12
1227,12
130,3
138,3
1384,3
14325,3
14329,3
14333,3
144,3
14496,3
155,3
2050,20
2054,3
2098,3
244,3
249,70
2919,3
2965,3
3019,13
326,3
332,3
382,3
383,3
387,3
4138,3
416,3
420,12
4217,3
423,3
4309,16
432,3
445,3
4458,3
4512,3
